제공처,연도,조사명,공번,X,Y,EL표고,GL수위,EL수위,매립층,퇴적점토,퇴적모래,퇴적자갈,풍화토,풍화암,연암,경암,시추심도
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-233,204053.922,280068.112,2.4,1.2,1.2,5.5,-,4.6,3.9,4.0,7.0,1.0,3.5,29.5
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-234,204009.554,280085.974,2.0,1.6,0.4,1.4,5.4,-,2.9,5.1,4.0,0.4,2.0,21.2
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-235,203962.412,280100.14,2.5,1.4,1.1,3.5,-,4.2,4.0,-,-,5.0,-,16.7
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-236,204024.651,280020.991,2.5,1.1,1.4,4.3,-,2.7,3.8,10.8,8.6,1.8,2.0,34.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-237,203991.067,280036.081,3.1,2.8,0.3,7.5,-,1.5,2.5,15.0,0.5,3.0,-,30.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-238,203945.159,280054.251,1.7,0.8,0.9,0.3,-,-,8.9,1.5,2.0,-,2.0,14.7
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-239,203974.159,279985.628,2.9,3.1,-0.2,2.3,1.5,2.9,3.6,4.4,3.1,3.2,-,21.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-240,204001.55,279920.055,2.1,1.0,1.1,6.4,-,-,5.6,10.0,8.5,1.5,2.0,34.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-241,203910.907,279957.409,3.0,1.8,1.2,3.5,4.8,-,2.5,6.0,0.2,0.5,2.0,19.5
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-242,203938.101,279890.032,3.1,1.6,1.5,3.5,-,-,14.5,4.0,4.0,3.0,-,29.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-243,203956.749,279828.872,2.3,1.2,1.1,9.8,-,0.7,4.5,5.3,3.7,4.0,-,28.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-244,203861.517,279863.44,3.2,2.0,1.2,8.2,6.8,-,3.7,3.3,3.7,2.0,3.5,31.2
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-245,203892.812,279799.32,3.1,2.7,0.4,1.5,2.1,-,12.9,8.5,6.0,3.0,-,34.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-246,203918.505,279735.879,2.4,1.2,1.2,1.3,4.7,5.7,4.3,5.5,3.5,5.0,-,30.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-247,203826.269,279771.315,3.2,2.2,1.0,2.7,2.8,-,10.4,7.7,4.2,5.0,-,32.8
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-248,203858.289,279708.098,3.1,2.1,1.0,2.7,11.8,-,5.5,7.8,0.5,2.7,-,31.0
