시추공,X(원문),Y(원문),동좌표 E(m),북좌표 N(m),위도 WGS84,경도 WGS84,표고/지반고(m),최종심도(m),지하수위 GL(-m),조사일
BB-7,279826.18,203934.889,203934.889,279826.18,35.11474904,129.04316438,4.31,28.5,4,2016.11.15~16
BB-11,279805.716,203990.226,203990.226,279805.716,35.11456437,129.04377131,3.66,45,3.9,2016.11.11~12
BH-01,279999.7279,203870.7768,203870.7768,279999.7279,35.11631359,129.04246191,103.6,17.3,2.9,
BH-03,279720.5718,203805.5853,203805.5853,279720.5718,35.11379762,129.04174548,103.5,20,2.7,
BH-05,280006.8596,203957.21,203957.21,280006.8596,35.11637754,129.04341010,103.5,22,2.6,
BH-1,203747.9492,279740.5847,203747.9492,279740.5847,35.11397822,129.04111333,-,22,2.6,2025.05.13
BH-2,203846.9084,279964.8664,203846.9084,279964.8664,35.11599945,129.04219991,-,14,2.9,2025.05.15
BH-3,203966.1317,279947.8462,203966.1317,279947.8462,35.11584557,129.04350769,-,16,4.35,2025.05.16
NBH-2,279989.156,203972.899,203972.899,279989.156,35.11621790,129.04358212,3.5,26.4,6,2025.05.23
NBH-3,279912.577,203943.628,203943.628,279912.577,35.11552776,129.04326066,3.4,19.2,4.6,2025.05.24
NBH-4,279750.461,203880.306,203880.306,279750.461,35.11406674,129.04256527,3.5,19.6,3.9,2025.05.25
